carname,price,milage,hubraum,fuel_type,transmission,num_seats,num_doors,emission_class,car_type,num_owners,Model,power_ps,age
Mercedes-Benz S 500 L Fondent 360° Stdhzg Pano Multibeam HUD,37900.0,14000.0,1.497,Benzin,Automatik,5,4/5,Euro6d,limousine,1,S-Klasse,156.0,0.6633333333332606
Mercedes-Benz C 200 4M Coupé AMG+Night+Pano+MultiBeam+Kamera,43890.0,15601.0,2.143,Diesel,Automatik,5,4/5,Euro6,sport,1,C-Klasse,204.0,4.079999999999927
Mercedes-Benz C 200 T AMG LED AHK Night Kamera Spurhalt-Ass 9G,71990.0,23478.0,2.999,Benzin,Automatik,5,4/5,Euro6d,limousine,2,C-Klasse,435.0,2.3299999999999272
Mercedes-Benz C 63 AMG S Cp. Driversp Perf-Abgas Burmester PTS,61990.0,6600.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,C-Klasse,421.0,0.4133333333332605
Mercedes-Benz CLS 400 d 4Matic AMG Line*WIDESCREEN*LED*360KAM*,51990.0,14000.0,1.497,Benzin,Automatik,5,2/3,Euro6d,sport,1,CL,184.0,0.2466666666665938
Mercedes-Benz Mercedes V250 Extralang Ultra VIP,60482.0,14000.0,1.496,Benzin,Automatik,5,4/5,Euro6d,kombi,1,OTHER,204.0,0.0799999999999272
Mercedes-Benz A200 Mercedes Urban schwarz,63849.0,14000.0,1.496,Benzin,Automatik,5,4/5,Euro6d,limousine,1,A-Klasse,204.0,0.0799999999999272
Mercedes-Benz GLC -Klasse GLC 250 4Matic AMG Line,25750.0,64000.0,1.595,Benzin,Automatik,5,4/5,Euro6c,kombi,1,GLC,156.0,3.1633333333332607
Mercedes-Benz B 180 d Progressive Rcam Navi MBUX PTS LED Memor,25750.0,64000.0,1.595,Benzin,Automatik,5,4/5,Euro6c,kombi,1,B-Klasse,156.0,3.1633333333332607
Mercedes-Benz Mercedes Benz CLA 250 Coupe Euro 6d-Temp A...,12480.0,49700.0,1.461,Diesel,Schaltgetriebe,5,2/3,Euro6,van,1,CLA,90.0,4.16333333333326
Mercedes-Benz 316 CDI Sprinter Lang HA Pritsche,30800.0,24000.0,1.497,Benzin,Automatik,5,4/5,Euro6d,kombi,1,Sprinter,156.0,0.996666666666594
Mercedes-Benz Mercedes CLA 200 7G-DCT Urban,29700.0,2000.0,1.95,Diesel,Automatik,5,4/5,Euro6d,van,1,CLA,116.0,1.8299999999999272
Mercedes-Benz CLA 200 SB AMG/7G-DCT/Multib/Pano/Distr/ Digital,51900.0,33012.0,1.95,Diesel,Automatik,6,4/5,Euro6d,van,2,CLA,190.0,2.4966666666665938
Mercedes-Benz MERCEDES SPRINTER 316 W907 6 SITZER L2/H1,36000.0,22523.0,2.143,Diesel,Schaltgetriebe,3,2/3,Euro6,suv,1,Sprinter,163.0,1.5799999999999272
"Mercedes-Benz Mercedes C63 AMG Performance Sitze, Head u...",42950.0,15000.0,1.991,Hybrid,Automatik,5,4/5,Euro6,kombi,1,OTHER,211.0,0.8299999999999272
Mercedes-Benz CLA 200d Urban COMAND*Night*Kamera*Leder*KeylGO,37450.0,11680.0,1.332,Benzin,Automatik,5,4/5,Euro6d,sport,1,CLA,163.0,1.3299999999999272
Mercedes-Benz Mercedes Benz C300d Coupe Amg Line 17Mon.G...,47880.0,6450.0,1.95,Hybrid,Automatik,5,4/5,Euro6,kombi,1,C-Klasse,194.0,0.9133333333332606
Mercedes-Benz C 250 d Cabrio AMG Line 9G-Tronic *LED-Navi*,33900.0,40000.0,2.143,Diesel,Automatik,9,4/5,Euro6,van,1,C-Klasse,163.0,3.9133333333332607
Mercedes-Benz Mercedes Benz C43 AMG *Navi*Sitzh.*Pano*Sp...,29780.0,58300.0,1.991,Benzin,Automatik,5,4/5,Euro6,suv,1,OTHER,211.0,4.16333333333326
Mercedes-Benz A Klasse 220 Mercedes AMG Line,36810.0,10900.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,A-Klasse,224.0,1.1633333333332607
Mercedes-Benz Mercedes C63s/,47880.0,6450.0,1.95,Hybrid,Automatik,5,4/5,Euro6,kombi,1,OTHER,194.0,0.9133333333332606
Mercedes-Benz A 45 AMG 4Matic Yellow Night Edition Service neu,33900.0,40000.0,2.143,Diesel,Automatik,9,4/5,Euro6,van,1,A-Klasse,163.0,3.9133333333332607
Mercedes-Benz CLA 200 AMG Navi LED Kamera Tempomat MBUX SHZ,29780.0,58300.0,1.991,Benzin,Automatik,5,4/5,Euro6,suv,1,CLA,211.0,4.16333333333326
Mercedes-Benz E 220 d T AMG MoPf AHK Distronic 360° Multibeam,36810.0,10900.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,E-Klasse,224.0,1.1633333333332607
Mercedes-Benz C 180 T AMG Multibeam Ambient Totwinkel Spur AHK,55810.0,16269.0,1.95,Diesel,Automatik,5,4/5,Euro6d,sport,1,C-Klasse,194.0,1.2466666666665938
Mercedes-Benz GLC 400 d 4M AMG Pano High End Info Park Licht,49610.0,38098.0,1.991,Benzin,Automatik,5,4/5,Euro6d,sport,1,GLC,197.0,1.2466666666665938
Mercedes-Benz A 250 AMG Night Pano Ambi MBUX MBeam Fahrass 360,52780.0,23945.0,1.95,Hybrid,Automatik,5,4/5,Euro6d,kombi,1,A-Klasse,194.0,0.5799999999999272
Mercedes-Benz E 220 d T-Modell Avantgarde+LED+AHK+Kamera+Navi,44830.0,6198.0,1.991,Benzin,Automatik,5,4/5,Euro6d,suv,1,E-Klasse,197.0,1.1633333333332607
Mercedes-Benz C 220 d T-Modell Avantgarde+Fahrassist.,54810.0,17998.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,C-Klasse,197.0,0.7466666666665939
Mercedes-Benz G 350 d 4M; Schiebedach; Sitzheizung; AHK,36990.0,20653.0,1.332,Benzin,Automatik,5,4/5,Euro6d,limousine,1,G-Klasse,163.0,1.4133333333332605
Mercedes-Benz C 180 Avantgarde Ass-Pkt SD LED RFK Ambiente DAB,54900.0,72800.0,2.987,Diesel,Automatik,5,4/5,Euro6c,suv,1,C-Klasse,258.0,3.1633333333332607
Mercedes-Benz C 300 e T AMG AssPkt MBeam KEYGO NIGHT eHe Ambie,20488.0,115000.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,C-Klasse,136.0,3.7466666666665938
"Mercedes-Benz V -Klasse V 250 d AVANTGARDE EDITION 4Matic,AHK",20488.0,115000.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,V-Klasse,136.0,3.7466666666665938
Mercedes-Benz E 63 S AMG BRABUS B40-700 Edition 1 Voll,30999.0,175000.0,2.143,Diesel,Automatik,4,2/3,Euro6,cabrio,1,E-Klasse,204.0,4.41333333333326
Mercedes-Benz X 250 d 4M Progr. Edition AHK 360 Comand LED,34490.0,98500.0,1.991,Benzin,Automatik,5,4/5,Euro6,limousine,1,OTHER,381.0,3.8299999999999272
Mercedes-Benz AMG A 45 4Matic AMG Speedshift 7G-DCT,45900.0,8784.0,1.332,Benzin,Automatik,5,4/5,Euro6d,sport,1,A-Klasse,163.0,0.7466666666665939
Mercedes-Benz Mercedes E-Klasse E220 W212 Bluetec 4Matic,59890.0,12528.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,194.0,0.7466666666665939
Mercedes-Benz GLE 43 AMG Coupe 4Matic 1Hand Navi Voll LED AHK,36950.0,12630.0,1.497,Benzin,Automatik,5,4/5,Euro6d,kombi,1,GLE,156.0,1.4133333333332605
Mercedes-Benz GLC 43 AMG 4M Coupe Night 21'' Comand HUD,64900.0,11470.0,2.925,Diesel,Automatik,5,4/5,Euro6d,suv,1,GLC,330.0,1.0799999999999272
Mercedes-Benz GLC 350 d 4Matic Head-up 360-Kamera Night,38900.0,11335.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,GLC,224.0,1.2466666666665938
Mercedes-Benz GLC 350 d 4M Coupe AMG Sport Comand ILS 360 ABC,42890.0,13800.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,GLC,194.0,1.0799999999999272
Mercedes-Benz GLA 220 4M AMG Kamera Panorama-D Memory,55690.0,3000.0,1.993,Diesel,Automatik,5,4/5,Euro6d,kombi,1,GLA,200.0,0.2466666666665938
Mercedes-Benz E 350 d AMG Night 20'' Multibeam Comand Burmeste,26880.0,49041.0,1.497,Benzin,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,184.0,3.1633333333332607
Mercedes-Benz E 250 AMG Night 20'' 9G LED Panorama-D Comand,32880.0,19229.0,1.497,Benzin,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,156.0,0.8299999999999272
Mercedes-Benz CLS 300 d Coupe AMG Multibeam Kamera,34845.0,32980.0,1.497,Benzin,Automatik,5,4/5,Euro6d,limousine,1,CL,156.0,0.7466666666665939
Mercedes-Benz CLA 220 d SB AMG 7G LED Navigation Business,53945.0,14350.0,1.95,Diesel,Automatik,5,4/5,Euro6d,suv,1,CLA,194.0,0.7466666666665939
Mercedes-Benz C 43 AMG 4M Coupe 9G LED Panorama-SD Comand,42885.0,10450.0,1.991,Hybrid,Automatik,5,4/5,Euro6d,kombi,1,C-Klasse,211.0,1.0799999999999272
Mercedes-Benz S 560 4M Lang AMG Line PLUS,31850.0,17704.0,1.95,Diesel,Automatik,5,4/5,Euro6c,kombi,1,S-Klasse,194.0,3.2466666666665938
Mercedes-Benz AMG GT Coupe Distronic Pano 1.Hand,55350.0,27880.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,GT,299.0,1.3299999999999272
Mercedes-Benz CLA 220 SB d Progressive Night Spur+Totw Multib,45900.0,8784.0,1.332,Benzin,Automatik,5,4/5,Euro6d,sport,1,CLA,163.0,0.7466666666665939
Mercedes-Benz E 220 d Coupe AMG Pano 360 Kamera KeylessGo,59890.0,12528.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,194.0,0.7466666666665939
Mercedes-Benz AMG GT S PANO BURM DISTR DIGI TACHO PERF ABGAS,36950.0,12630.0,1.497,Benzin,Automatik,5,4/5,Euro6d,kombi,1,S-Klasse,156.0,1.4133333333332605
Mercedes-Benz S400d L 4M AMG 20Zoll Brabus HeadUp Pano,64900.0,11470.0,2.925,Diesel,Automatik,5,4/5,Euro6d,suv,1,OTHER,330.0,1.0799999999999272
Mercedes-Benz C 220 d T Avantgarde STDHZG AHK PANOSD Burmeste,38900.0,11335.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,C-Klasse,224.0,1.2466666666665938
Mercedes-Benz C43 amg Facelift 4matic,42890.0,13800.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,OTHER,194.0,1.0799999999999272
Mercedes-Benz GLE 43 4M Distr Night KomfortP ExclusivP Pano,55690.0,3000.0,1.993,Diesel,Automatik,5,4/5,Euro6d,kombi,1,CL,200.0,0.2466666666665938
Mercedes-Benz CLS 400 d 4M Coupe AMG-Sport Comand Wide SHD 360,26880.0,49041.0,1.497,Benzin,Automatik,5,4/5,Euro6d,kombi,1,CL,184.0,3.1633333333332607
Mercedes-Benz G 350d Modell Station Soundsystem Chrom,32880.0,19229.0,1.497,Benzin,Automatik,5,4/5,Euro6d,kombi,1,G-Klasse,156.0,0.8299999999999272
Mercedes-Benz GLE 400 AMG Line 4Matic HUD Standheiz FixKIT,34845.0,32980.0,1.497,Benzin,Automatik,5,4/5,Euro6d,limousine,1,GLE,156.0,0.7466666666665939
Mercedes-Benz G 500 AMG STANDHEIZ SITZKLIMA RIDE CONTROL,53945.0,14350.0,1.95,Diesel,Automatik,5,4/5,Euro6d,suv,1,G-Klasse,194.0,0.7466666666665939
Mercedes-Benz E 350 COUPE AMG LINE PANO MULTIBEAM COMAND DAB,42885.0,10450.0,1.991,Hybrid,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,211.0,1.0799999999999272
Mercedes-Benz C 300 T 9G-TRONIC Avantgarde,54900.0,72800.0,2.987,Diesel,Automatik,5,4/5,Euro6c,suv,1,C-Klasse,258.0,3.1633333333332607
Mercedes-Benz Mercedes Cls 450 Amg 53 Amg Edition 1 Gara...,20488.0,115000.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,CL,136.0,3.7466666666665938
Mercedes-Benz Mercedes Benz GLS 350D,20488.0,115000.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,GLS,136.0,3.7466666666665938
Mercedes-Benz Zum Verkauf steht meine E-Klasse (W213) in...,30999.0,175000.0,2.143,Diesel,Automatik,4,2/3,Euro6,cabrio,1,E-Klasse,204.0,4.41333333333326
Mercedes-Benz Mercedes-Benz GLE 350d Coupe AMG Line Spur...,34490.0,98500.0,1.991,Benzin,Automatik,5,4/5,Euro6,limousine,1,GLE,381.0,3.8299999999999272
"Mercedes-Benz GLC 220 d AMG-Line 4Matic Vollleder Navi LED 20""",44850.0,84500.0,1.95,Diesel,Automatik,4,2/3,Euro6,sport,2,GLC,194.0,3.4966666666665938
"Mercedes-Benz GLA -Klasse 180 Automatik 7-Gang , Panorama-Dach",34748.0,176000.0,2.925,Diesel,Automatik,5,4/5,Euro6,kombi,1,GLA,340.0,2.9966666666665938
Mercedes-Benz C 200 T 9G-TRONIC AMG Line,33490.0,61998.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,C-Klasse,194.0,2.6633333333332607
Mercedes-Benz E350 d 4Matic Lim. WIDESCREEN*MULTIBEAM*VOLL*VOL,24900.0,45876.0,1.595,Benzin,Automatik,5,4/5,Euro6d,suv,1,E-Klasse,122.0,2.2466666666665938
Mercedes-Benz Mercedes B 180,59500.0,122000.0,2.143,Diesel,Automatik,4,4/5,Euro6,van,2,B-Klasse,190.0,4.66333333333326
Mercedes-Benz S 500 L Limo. 4Matic HeadUp LED Burmester Voll!,25700.0,17524.0,1.6,Diesel,Schaltgetriebe,5,4/5,Euro6,kombi,1,S-Klasse,116.0,2.4133333333332607
Mercedes-Benz S -Klasse Lim. S 400 4Matic,25900.0,24962.0,1.6,Diesel,Schaltgetriebe,5,4/5,Euro6,kombi,1,S-Klasse,116.0,2.4133333333332607
Mercedes-Benz GLC 300 de 4M EXCLUSIVE-INT+18''+AHK+KAM+DKL.GLA,61790.0,7962.0,2.925,Diesel,Automatik,5,4/5,Euro6d,kombi,1,CL,330.0,1.4133333333332605
Mercedes-Benz GLB 250 4Matic *AMG-LINE*6 TKM*PANORAMA*,41900.0,19418.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,GLB,194.0,1.3299999999999272
Mercedes-Benz GLE -Klasse GLE 350 d 4Matic,46410.0,120000.0,2.987,Diesel,Automatik,5,4/5,Euro6,suv,1,GLE,258.0,4.579999999999927
Mercedes-Benz A 180 Urban,45999.0,12000.0,1.991,Benzin,Automatik,5,4/5,Euro6,suv,1,A-Klasse,211.0,2.9133333333332607
Mercedes-Benz E 200 Coupé Avantgarde Kamera HighMBUX Business,48990.0,9900.0,1.332,Benzin,Automatik,5,4/5,Euro6,limousine,1,E-Klasse,163.0,0.4966666666665939
Mercedes-Benz E 400 d 4M T AMG High-MBUX DISTRO+360°SD AHK elH,49900.0,4999.0,1.991,Benzin,Automatik,4,2/3,Euro6,sport,1,E-Klasse,197.0,0.2466666666665938
Mercedes-Benz E 300 Coupé AMG Kamera High-MBUX DISTRO PanoSD,65900.0,4999.0,1.95,Hybrid,Automatik,5,4/5,Euro6,suv,1,E-Klasse,194.0,0.4133333333332605
Mercedes-Benz Sprinter III Tourer 316 CDI KOMBI HOCHDACH -LA,64990.0,3000.0,1.991,Benzin,Automatik,4,2/3,Euro6,sport,1,Sprinter,258.0,0.4966666666665939
Mercedes-Benz S -Klasse Cabriolet S 560,60095.0,1600.0,2.143,Diesel,Automatik,9,4/5,Euro6,van,1,S-Klasse,163.0,2.1633333333332607
Mercedes-Benz E 220 T d 4M Avantgarde+Comand+Spur+LED+Kam+Totw,64899.0,18860.0,1.95,Hybrid,Automatik,5,4/5,Euro6d,kombi,1,E-Klasse,194.0,0.8299999999999272
Mercedes-Benz C 300 T e AMG ex/in+Night Edi+Comand+volldig+Pan,35899.0,55000.0,1.95,Diesel,Automatik,5,4/5,Euro6,kombi,1,C-Klasse,194.0,3.3299999999999272
Mercedes-Benz CLS 450 4matic AMG Edition 1,50899.0,34608.0,1.991,Hybrid,Automatik,5,4/5,Euro6d,kombi,1,CL,211.0,0.8299999999999272
"Mercedes-Benz Mercedes Vito Camper, ähnlich Marco Polo",50899.0,34608.0,1.991,Hybrid,Automatik,5,4/5,Euro6d,kombi,1,MarcoPolo,211.0,0.8299999999999272
Mercedes-Benz GLE -Klasse GLE 500 e 4Matic-Panorama-Harman K.,43800.0,89459.0,2.143,Diesel,Automatik,5,4/5,Euro6,sport,1,GLE,204.0,4.496666666666594
Mercedes-Benz Mercedes E300d Coupé,14999.0,120000.0,1.461,Diesel,Schaltgetriebe,5,4/5,Euro6,van,1,E-Klasse,109.0,4.579999999999927
Mercedes-Benz C 400 Coupe 4Matic 9G-TRONIC AMG Line,29900.0,13227.0,2.143,Diesel,Schaltgetriebe,3,4/5,Euro6,van,1,C-Klasse,143.0,2.9133333333332607
Mercedes-Benz CITAN KOMBI 111 CDI LANG TEMPOMAT KLIMA,23999.0,76000.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,Vaneo,204.0,4.579999999999927
Mercedes-Benz GLA 200 CDI Urban*Navi*Xenon*Ahk*Kamera*,36900.0,77380.0,1.95,Diesel,Automatik,4,2/3,Euro6,limousine,1,GLA,194.0,3.9133333333332607
Mercedes-Benz B 220 Progressive Distronic Kamera LED AHK HUD,45990.0,14000.0,1.332,Benzin,Automatik,5,4/5,Euro6d,sport,1,B-Klasse,136.0,0.0799999999999272
Mercedes-Benz A 220 4M Limousine AMG Distronic Pano.-Dach,39990.0,133200.0,2.996,Benzin,Automatik,4,2/3,Euro6,sport,1,A-Klasse,333.0,3.4133333333332607
Mercedes-Benz C 220 d 4MATIC T-Modell /9G/Navigation/Memory-P.,42990.0,14000.0,1.332,Benzin,Automatik,5,4/5,Euro6d,limousine,1,C-Klasse,136.0,0.1633333333332606
Mercedes-Benz C 220 d T Avantgarde/9G/LED/Assistenz-Paket/AHK/,27690.0,49920.0,1.461,Diesel,Automatik,5,4/5,Euro6d,limousine,1,C-Klasse,116.0,2.9133333333332607
Mercedes-Benz CLA 200 AMG MBUX Augment Ambiente Totw LED,40890.0,35736.0,2.143,Diesel,Automatik,5,4/5,Euro6c,suv,1,CLA,170.0,2.5799999999999272
Mercedes-Benz GLE 400 d 4Matic 9G-TRONIC COUPE,34990.0,54113.0,2.143,Diesel,Automatik,5,4/5,Euro6,suv,1,GLE,204.0,3.1633333333332607
Mercedes-Benz E 200 d 9G-TRONIC Avantgarde,52900.0,14000.0,1.95,Diesel,Automatik,5,4/5,Euro6,sport,1,E-Klasse,190.0,0.0799999999999272
"Mercedes-Benz G 400 d AMG LINE 20"" NIGHT I+II BURMESTER 360°",50890.0,58813.0,2.996,Benzin,Automatik,5,4/5,Euro6,sport,1,G-Klasse,367.0,4.496666666666594
"Mercedes-Benz C 300 T e AMG + NIGHT NAV/LEDER/PSD/SHZ/19""/NP75",34990.0,54113.0,2.143,Diesel,Automatik,5,4/5,Euro6,suv,1,C-Klasse,204.0,3.1633333333332607
Mercedes-Benz C 300 T AMG Line NIGHT NAV/LEDER/STDHZ/PSD/NP78,52900.0,14000.0,1.95,Diesel,Automatik,5,4/5,Euro6,sport,1,C-Klasse,190.0,0.0799999999999272
Mercedes-Benz CLA 45 Coupe 4MaticAMG Driver Package,37900.0,14000.0,1.497,Benzin,Automatik,5,4/5,Euro6d,limousine,1,CLA,156.0,0.6633333333332606
Mercedes-Benz A 180 BlueEFFICIENCY Edition,43890.0,15601.0,2.143,Diesel,Automatik,5,4/5,Euro6,sport,1,A-Klasse,204.0,4.079999999999927
Mercedes-Benz C 200 AMG-Line,71990.0,23478.0,2.999,Benzin,Automatik,5,4/5,Euro6d,limousine,2,C-Klasse,435.0,2.3299999999999272
Mercedes-Benz GLC 250 d Coupe 4Matic AMG/SHD/NIGHT/LEDER ROT,61990.0,6600.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,GLC,421.0,0.4133333333332605
Mercedes-Benz MERCEDES BENZ CLA 220 AMG 7G 4MATIC*VOLLAU...,51990.0,14000.0,1.497,Benzin,Automatik,5,2/3,Euro6d,sport,1,CLA,184.0,0.2466666666665938
Mercedes-Benz GLC 350d 4M 9G Exclusive*Designo/Night/Pano/LED*,60482.0,14000.0,1.496,Benzin,Automatik,5,4/5,Euro6d,kombi,1,CL,204.0,0.0799999999999272
"Mercedes-Benz GLC 250 d 4Matic, 9G-tronic, Allrad, LED, Navi",63849.0,14000.0,1.496,Benzin,Automatik,5,4/5,Euro6d,limousine,1,GLC,204.0,0.0799999999999272
Mercedes-Benz E 53 AMG 4Matic+/Multibeam+Comand+Widescreeen+,52900.0,14000.0,1.95,Diesel,Automatik,5,4/5,Euro6,sport,1,E-Klasse,190.0,0.0799999999999272
Mercedes-Benz AMG G 63 AMG SPEEDSHIFT 7G-TRONIC Exclusive ...,37900.0,14000.0,1.497,Benzin,Automatik,5,4/5,Euro6d,limousine,1,G-Klasse,156.0,0.6633333333332606
Mercedes-Benz X250d 4Matic*Progressive*AHK*360°Kamera*LED*,43890.0,15601.0,2.143,Diesel,Automatik,5,4/5,Euro6,sport,1,OTHER,204.0,4.079999999999927
Mercedes-Benz V300d EXCLUSIVE 4M.*AMG*6xSitzKlima*StHzg*Pano,71990.0,23478.0,2.999,Benzin,Automatik,5,4/5,Euro6d,limousine,2,CL,435.0,2.3299999999999272
Mercedes-Benz V300d Avantgar*4M*AMG*StdHzg*Burme*DistrPlus*AHK,61990.0,6600.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,OTHER,421.0,0.4133333333332605
Mercedes-Benz V250d*4M.*AMG*Pano*Distr*Burmester*AHK*StdHzg*,51990.0,14000.0,1.497,Benzin,Automatik,5,2/3,Euro6d,sport,1,OTHER,184.0,0.2466666666665938
Mercedes-Benz S500 Cabrio*AMG*Massage*360°*SitzKlima*Burmester,60482.0,14000.0,1.496,Benzin,Automatik,5,4/5,Euro6d,kombi,1,OTHER,204.0,0.0799999999999272
Mercedes-Benz GLE 53 AMG 4M.+*Massage*360°*Pano*AHK*SportAbgas,63849.0,14000.0,1.496,Benzin,Automatik,5,4/5,Euro6d,limousine,1,GLE,204.0,0.0799999999999272
Mercedes-Benz GLA 220 d 4M*AMG*Pano*Night*RFK*Ambiente*20Zoll*,63849.0,14000.0,1.496,Benzin,Automatik,5,4/5,Euro6d,limousine,1,GLA,204.0,0.0799999999999272
Mercedes-Benz CLA 35 AMG 4M.*Aero*HuD*Burm*ACC*Pano*360°*Multi,25750.0,64000.0,1.595,Benzin,Automatik,5,4/5,Euro6c,kombi,1,CLA,156.0,3.1633333333332607
Mercedes-Benz C 43 AMG 4M*Night-P*Perf-AGA*Pano*Burme.*Ride.C,12480.0,49700.0,1.461,Diesel,Schaltgetriebe,5,2/3,Euro6,van,1,C-Klasse,90.0,4.16333333333326
Mercedes-Benz GLA -Klasse GLA 180 CDI / Navi /LED,30800.0,24000.0,1.497,Benzin,Automatik,5,4/5,Euro6d,kombi,1,GLA,156.0,0.996666666666594
Mercedes-Benz A 220 Limo AMG 4M+MBUX High+Ambiente+Business,30800.0,24000.0,1.497,Benzin,Automatik,5,4/5,Euro6d,kombi,1,A-Klasse,156.0,0.996666666666594
Mercedes-Benz E 220 d 9G-TRONIC Avantgarde/19 Zoll/TV/Leder,29700.0,2000.0,1.95,Diesel,Automatik,5,4/5,Euro6d,van,1,E-Klasse,116.0,1.8299999999999272
Mercedes-Benz EQV 300 AVANTGARDE Lang Easy-Pack 360° 160km/h,51900.0,33012.0,1.95,Diesel,Automatik,6,4/5,Euro6d,van,2,OTHER,190.0,2.4966666666665938
Mercedes-Benz A 200 AMG Sportpaket Night-Paket Automatik,36000.0,22523.0,2.143,Diesel,Schaltgetriebe,3,2/3,Euro6,suv,1,A-Klasse,163.0,1.5799999999999272
"Mercedes-Benz GLE 43 AMG Coupe 4M 9G-TRONICNP:118.711,00€",42950.0,15000.0,1.991,Hybrid,Automatik,5,4/5,Euro6,kombi,1,GLE,211.0,0.8299999999999272
Mercedes-Benz C 300 e EXCLUSIVE *Distronic*COMAND*360°*LED*,36000.0,22523.0,2.143,Diesel,Schaltgetriebe,3,2/3,Euro6,suv,1,C-Klasse,163.0,1.5799999999999272
Mercedes-Benz V 250 d lang Avantgarde Edition 360° Burmester,42950.0,15000.0,1.991,Hybrid,Automatik,5,4/5,Euro6,kombi,1,V-Klasse,211.0,0.8299999999999272
"Mercedes-Benz V 250/AMG-Line/2xTür,NAVI COMAND/LEDER/KAM,LED",37450.0,11680.0,1.332,Benzin,Automatik,5,4/5,Euro6d,sport,1,V-Klasse,163.0,1.3299999999999272
Mercedes-Benz A 180 d Style LED Spurhalt-Ass PTS 7G-DCT Sitzh,47880.0,6450.0,1.95,Hybrid,Automatik,5,4/5,Euro6,kombi,1,A-Klasse,194.0,0.9133333333332606
Mercedes-Benz GLA 180 Urban LED Kamera Navi Laderaump PTS Temp,33900.0,40000.0,2.143,Diesel,Automatik,9,4/5,Euro6,van,1,GLA,163.0,3.9133333333332607
Mercedes-Benz Sprinter 214 CDI KA Hoch LED+9GTronic+CAM+MBUX,29780.0,58300.0,1.991,Benzin,Automatik,5,4/5,Euro6,suv,1,GT,211.0,4.16333333333326
Mercedes-Benz V 250 d AVANTGARDE EDITION Lang+AMG+AHK+Comand,36810.0,10900.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,V-Klasse,224.0,1.1633333333332607
Mercedes-Benz V 300 d AVANTGARDE EDITION Kompakt+AHK+6d-Temp,55810.0,16269.0,1.95,Diesel,Automatik,5,4/5,Euro6d,sport,1,V-Klasse,194.0,1.2466666666665938
"Mercedes-Benz GLC 300 4M Fahrass/AHK/4xHigh-End/Pano/20""/Airb",49610.0,38098.0,1.991,Benzin,Automatik,5,4/5,Euro6d,sport,1,GLC,197.0,1.2466666666665938
Mercedes-Benz A 180 AMG Pano LED Navi PTS 7G-DCT Sitzh Temp,52780.0,23945.0,1.95,Hybrid,Automatik,5,4/5,Euro6d,kombi,1,A-Klasse,194.0,0.5799999999999272
Mercedes-Benz GLA 250 4M AMG Night Pano Multibeam Distr. PTS,44830.0,6198.0,1.991,Benzin,Automatik,5,4/5,Euro6d,suv,1,GLA,197.0,1.1633333333332607
Mercedes-Benz CLS 450 Cp. 4M AMG designo WideScreen Stdhzg SHD,54810.0,17998.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,CL,197.0,0.7466666666665939
Mercedes-Benz C 300 AMG Burmester LED Night Spurhalt-Ass PTS,54810.0,17998.0,1.991,Benzin,Automatik,5,4/5,Euro6d,limousine,1,C-Klasse,197.0,0.7466666666665939
Mercedes-Benz E 350 d T 4Matic*AMG*Pano*Memory*Burmester*HUD*,36990.0,20653.0,1.332,Benzin,Automatik,5,4/5,Euro6d,limousine,1,E-Klasse,163.0,1.4133333333332605
Mercedes-Benz GLE 350 d 4M AMG+Night+Pano+360+AHK+MultiBeam+9G,51900.0,37372.0,1.95,Diesel,Automatik,7,4/5,Euro6d,van,1,GLE,190.0,1.3299999999999272
"Mercedes-Benz GLB 200 ALU 18"" LED Distronic PTS RÃ¼ckfahrk.",49550.0,13935.0,1.991,Benzin,Automatik,5,4/5,Euro6d,suv,1,GLB,224.0,1.3299999999999272
